bs	ic	height	width	oc	stride	ksize	mode
4	3	32	32	4	1	3	0
1	3	32	32	4	2	3	0
2	3	32	32	4	2	3	0
3	3	32	32	4	2	3	0
4	3	32	32	4	2	3	0
1	3	32	32	4	3	3	0
2	3	32	32	4	3	3	0
3	3	32	32	4	3	3	0
4	3	32	32	4	3	3	0
1	3	32	32	4	1	4	0
2	3	32	32	4	1	4	0
3	3	32	32	4	1	4	0
4	3	32	32	4	1	4	0
1	3	32	32	4	2	4	0
2	3	32	32	4	2	4	0
3	3	32	32	4	2	4	0
4	3	32	32	4	2	4	0
1	3	32	32	4	3	4	0
2	3	32	32	4	3	4	0
3	3	32	32	4	3	4	0
4	3	32	32	4	3	4	0
1	3	32	32	4	4	4	0
2	3	32	32	4	4	4	0
3	3	32	32	4	4	4	0
4	3	32	32	4	4	4	0
1	3	32	32	4	1	5	0
2	3	32	32	4	1	5	0
3	3	32	32	4	1	5	0
4	3	32	32	4	1	5	0
1	3	32	32	4	2	5	0
2	3	32	32	4	2	5	0
3	3	32	32	4	2	5	0
4	3	32	32	4	2	5	0
1	3	32	32	4	3	5	0
2	3	32	32	4	3	5	0
3	3	32	32	4	3	5	0
4	3	32	32	4	3	5	0
1	3	32	32	4	4	5	0
2	3	32	32	4	4	5	0
3	3	32	32	4	4	5	0
4	3	32	32	4	4	5	0
1	3	32	32	4	5	5	0
2	3	32	32	4	5	5	0
3	3	32	32	4	5	5	0
4	3	32	32	4	5	5	0
1	3	32	32	4	1	6	0
2	3	32	32	4	1	6	0
3	3	32	32	4	1	6	0
4	3	32	32	4	1	6	0
1	3	32	32	4	2	6	0
2	3	32	32	4	2	6	0
3	3	32	32	4	2	6	0
4	3	32	32	4	2	6	0
1	3	32	32	4	3	6	0
2	3	32	32	4	3	6	0
3	3	32	32	4	3	6	0
4	3	32	32	4	3	6	0
1	3	32	32	4	4	6	0
2	3	32	32	4	4	6	0
3	3	32	32	4	4	6	0
4	3	32	32	4	4	6	0
1	3	32	32	4	5	6	0
2	3	32	32	4	5	6	0
3	3	32	32	4	5	6	0
4	3	32	32	4	5	6	0
1	3	32	32	4	6	6	0
2	3	32	32	4	6	6	0
3	3	32	32	4	6	6	0
4	3	32	32	4	6	6	0
1	3	32	32	4	1	7	0
2	3	32	32	4	1	7	0
3	3	32	32	4	1	7	0
4	3	32	32	4	1	7	0
1	3	32	32	4	2	7	0
2	3	32	32	4	2	7	0
3	3	32	32	4	2	7	0
4	3	32	32	4	2	7	0
1	3	32	32	4	3	7	0
2	3	32	32	4	3	7	0
3	3	32	32	4	3	7	0
4	3	32	32	4	3	7	0
1	3	32	32	4	4	7	0
2	3	32	32	4	4	7	0
3	3	32	32	4	4	7	0
4	3	32	32	4	4	7	0
1	3	32	32	4	5	7	0
2	3	32	32	4	5	7	0
3	3	32	32	4	5	7	0
4	3	32	32	4	5	7	0
1	3	32	32	4	6	7	0
2	3	32	32	4	6	7	0
3	3	32	32	4	6	7	0
4	3	32	32	4	6	7	0
1	3	32	32	4	7	7	0
2	3	32	32	4	7	7	0
3	3	32	32	4	7	7	0
4	3	32	32	4	7	7	0
1	3	32	32	5	1	1	0
2	3	32	32	5	1	1	0
3	3	32	32	5	1	1	0
4	3	32	32	5	1	1	0
1	3	32	32	5	1	2	0
2	3	32	32	5	1	2	0
3	3	32	32	5	1	2	0
4	3	32	32	5	1	2	0
1	3	32	32	5	2	2	0
2	3	32	32	5	2	2	0
3	3	32	32	5	2	2	0
4	3	32	32	5	2	2	0
1	3	32	32	5	1	3	0
2	3	32	32	5	1	3	0
3	3	32	32	5	1	3	0
4	3	32	32	5	1	3	0
1	3	32	32	5	2	3	0
2	3	32	32	5	2	3	0
3	3	32	32	5	2	3	0
4	3	32	32	5	2	3	0
1	3	32	32	5	3	3	0
2	3	32	32	5	3	3	0
3	3	32	32	5	3	3	0
4	3	32	32	5	3	3	0
1	3	32	32	5	1	4	0
2	3	32	32	5	1	4	0
3	3	32	32	5	1	4	0
4	3	32	32	5	1	4	0
1	3	32	32	5	2	4	0
2	3	32	32	5	2	4	0
3	3	32	32	5	2	4	0
4	3	32	32	5	2	4	0
1	3	32	32	5	3	4	0
2	3	32	32	5	3	4	0
3	3	32	32	5	3	4	0
